,name,open,bugs,no_bugs
0,hidroh/materialistic,207,12,195
1,gsantner/memetastic,19,0,19
2,fenimore/DemocracyDroid,4,1,3
3,ctodobom/OpenNoteScanner,40,2,38
4,HugoGresse/Anecdote,9,2,7
5,greenaddress/abcore,14,0,14
6,mkulesh/microMathematics,14,0,14
7,vijai1996/screenrecorder,22,2,20
8,gsantner/markor,44,3,41
9,SecUSo/privacy-friendly-pedometer,18,4,14
10,philliphsu/ClockPlus,48,0,48
11,Sparker0i/Weather,8,2,6
12,ScreamingHawk/android-slideshow,22,8,14
13,openintents/notepad,14,0,14
14,jtmcn/archwiki-viewer,9,0,9
15,kwantam/batsHIIT,7,1,6
16,commons-app/apps-android-commons,444,85,359
17,Cj-Malone/Screens,3,0,3
18,MarcelJurtz/MTG_LifeCounter,12,1,11
19,OpenArchive/openarchive,51,13,38
20,erickok/transdroid,67,8,59
21,kollerlukas/Camera-Roll-Android-App,80,19,61
22,T-Rex96/Easy_xkcd,19,0,19
23,TobiasBielefeld/Simple-Brick-Games,0,0,0
24,TheTorProject/ooniprobe-android,17,3,14
25,MCMrARM/revolution-irc,92,23,69
26,andOTP/andOTP,55,9,46
27,qqq3/inventum,7,0,7
28,HenriDellal/emerald,23,6,17
29,tengusw/share_to_clipboard,2,0,2
30,arnef/bewegungsmelder-android,3,1,2
31,SecUSo/privacy-friendly-dice-game,0,0,0
32,itds-consulting/android-silent-ping-sms,8,0,8
33,gilbsgilbs/freemobilenetstat,30,20,10
34,BiglySoftware/BiglyBT-Android,18,0,18
35,btimofeev/UniPatcher,6,0,6
36,Andre1299/TUI-ConsoleLauncher,68,0,68
37,adolfintel/chromiumUpdater,1,0,1
38,termux/termux-app,250,0,250
39,tananaev/rootless-logcat,3,0,3
40,sergstetsuk/CosyDVR,19,0,19
41,caarmen/network-monitor,13,1,12
42,termux/termux-styling,12,0,12
43,TheUberCatman/crates-io-android,4,0,4
44,j4velin/Pedometer,19,1,18
45,micolous/metrodroid,16,1,15
46,wbrenna/GTFSOffline,6,1,5
47,caarmen/nounours-android,7,1,6
48,Etar-Group/Etar-Calendar,117,6,111
49,SteamGifts/SteamGifts,0,0,0
50,AnaelMobilia/NextINpact-Unofficial,8,2,6
51,scoute-dich/HHSMoodle,3,0,3
52,joonatoona/OpenShift,0,0,0
53,maks/MGit,212,65,147
54,meoblast001/thugaim,3,0,3
55,Tortel/SysLog,6,0,6
56,pR0Ps/LocationShare,4,0,4
57,dftec-es/planetcon,2,0,2
58,saschpe/BirthdayCalendar,4,0,4
59,EvanRespaut/Equate,18,0,18
60,alaskalinuxuser/app_hourglass,2,0,2
61,Neamar/KISS,80,9,71
62,qqq3/good-weather,26,0,26
63,TripSit/tripmobile,15,1,14
64,y20k/transistor,13,3,10
65,geecko86/QuickLyric,24,2,22
66,richsmith/sexytopo,47,6,41
67,icechen1/Notable,11,0,11
68,quaap/SeafoodBerserker,7,4,3
69,Gittner/OSMBugs,1,0,1
70,oliexdev/openScale,13,0,13
71,termux/termux-widget,19,0,19
72,guardianproject/ripple,1,0,1
73,termux/termux-float,8,0,8
74,capitoledulibre/cdl-companion-android,3,0,3
75,gjedeer/mylocation,10,0,10
76,SecUSo/privacy-friendly-shopping-list,27,4,23
77,vanilla-music/vanilla-music-cover-fetch,3,0,3
78,scoute-dich/K9-MailClient,0,0,0
79,veniosg/Dir,33,11,22
80,greenaddress/GreenBits,21,0,21
81,flyve-mdm/android-inventory-agent/,0,0,0
82,marunjar/anewjkuapp,17,0,17
83,anselm94/Torchie-Android,11,0,11
84,WangDaYeeeeee/Mysplash,39,0,39
85,DecentralizedAmateurPagingNetwork/DAPNETApp,4,0,4
86,butzist/ActivityLauncher,6,0,6
87,francescosoave/TIS_android,1,0,1
88,tranquvis/SimpleSmsRemote,18,0,18
89,RyuzakiKK/NoteCrypt,6,1,5
90,h42i/d00r-app,0,0,0
91,westnordost/StreetComplete,98,6,92
92,linuxtage/glt-companion,1,0,1
93,gentlecat/Simple-Counter/,0,0,0
94,thuryn/your-local-weather,29,1,28
95,abrensch/brouter,45,1,44
96,reloZid/android-anuto,21,0,21
97,VREMSoftwareDevelopment/WifiAnalyzer,10,1,9
98,domogik/domodroid,62,12,50
99,mikifus/padland,8,0,8
